,sign_p.value,effect_size,p.adjust,enrich,tax,group,class
GuYY_2017_Acarbose_D90.7-beta-hsdh,0.000355226,-0.5,0.001598518,D90,7-beta-hsdh,GuYY_2017_Acarbose_D90,bileacid
GuYY_2017_Acarbose_D90.baiE,0.393667354,0.119,0.442875773,none,baiE,GuYY_2017_Acarbose_D90,bileacid
GuYY_2017_Acarbose_D90.baiI,0.003298933,0.385,0.010990353,D0,baiI,GuYY_2017_Acarbose_D90,bileacid
GuYY_2017_Acarbose_D90.bsh,0.343781398,0.133,0.403569467,none,bsh,GuYY_2017_Acarbose_D90,bileacid
GuYY_2017_Glipizide_D90.7-beta-hsdh,0.50352992,-0.103,0.874104763,none,7-beta-hsdh,GuYY_2017_Glipizide_D90,bileacid
GuYY_2017_Glipizide_D90.baiE,0.712233511,0.0569,0.874104763,none,baiE,GuYY_2017_Glipizide_D90,bileacid
GuYY_2017_Glipizide_D90.baiI,0.412664249,-0.119,0.874104763,none,baiI,GuYY_2017_Glipizide_D90,bileacid
GuYY_2017_Glipizide_D90.bsh,0.535961582,-0.0955,0.874104763,none,bsh,GuYY_2017_Glipizide_D90,bileacid
WuH_2017_Metformin_D120.7-beta-hsdh,0.262686093,-0.239,0.543501955,none,7-beta-hsdh,WuH_2017_Metformin_D120,bileacid
WuH_2017_Metformin_D120.baiE,0.592177496,0.114,0.748742748,none,baiE,WuH_2017_Metformin_D120,bileacid
WuH_2017_Metformin_D120.baiI,0.322075233,0.211,0.543501955,none,baiI,WuH_2017_Metformin_D120,bileacid
WuH_2017_Metformin_D120.bsh,0.832866416,-0.045,0.899495729,none,bsh,WuH_2017_Metformin_D120,bileacid
WuH_2017_Metformin_D60.7-beta-hsdh,0.414040003,-0.178,0.621060005,none,7-beta-hsdh,WuH_2017_Metformin_D60,bileacid
WuH_2017_Metformin_D60.baiE,0.042019949,0.443,0.162076947,none,baiE,WuH_2017_Metformin_D60,bileacid
WuH_2017_Metformin_D60.baiI,0.154076597,0.319,0.416006813,none,baiI,WuH_2017_Metformin_D60,bileacid
WuH_2017_Metformin_D60.bsh,0.244269533,-0.253,0.50732903,none,bsh,WuH_2017_Metformin_D60,bileacid
WuH_2017_Placebo_D120.7-beta-hsdh,0.331831608,0.235,0.447972671,none,7-beta-hsdh,WuH_2017_Placebo_D120,bileacid
WuH_2017_Placebo_D120.baiE,0.943392057,-0.0172,1,none,baiE,WuH_2017_Placebo_D120,bileacid
WuH_2017_Placebo_D120.baiI,0.071962994,-0.427,0.149461602,none,baiI,WuH_2017_Placebo_D120,bileacid
WuH_2017_Placebo_D120.bsh,0.135922022,0.361,0.244659639,none,bsh,WuH_2017_Placebo_D120,bileacid
WuH_2017_Placebo_D60.7-beta-hsdh,0.285979191,0.252,1,none,7-beta-hsdh,WuH_2017_Placebo_D60,bileacid
WuH_2017_Placebo_D60.baiE,0.777117573,-0.0667,1,none,baiE,WuH_2017_Placebo_D60,bileacid
WuH_2017_Placebo_D60.baiI,0.304492396,0.295,1,none,baiI,WuH_2017_Placebo_D60,bileacid
WuH_2017_Placebo_D60.bsh,0.647470713,-0.108,1,none,bsh,WuH_2017_Placebo_D60,bileacid
RenHH_2023_Metformin_D90.7-beta-hsdh,0.357234334,0.134,0.50764879,none,7-beta-hsdh,YangFM_2021_Metformin_D90,bileacid
RenHH_2023_Metformin_D90.baiE,0.193051272,0.19,0.325774021,none,baiE,YangFM_2021_Metformin_D90,bileacid
RenHH_2023_Metformin_D90.baiI,0.869011189,0.0011,0.869011189,none,baiI,YangFM_2021_Metformin_D90,bileacid
RenHH_2023_Metformin_D90.bsh,0.679823355,0.0602,0.705970407,none,bsh,YangFM_2021_Metformin_D90,bileacid
ZhangXY_2021_Acarbose_D168.7-beta-hsdh,0.023243103,-0.35,0.041837585,D168,7-beta-hsdh,ZhangXY_2021_Acarbose_D168,bileacid
ZhangXY_2021_Acarbose_D168.baiE,0.237365954,-0.182,0.337309513,none,baiE,ZhangXY_2021_Acarbose_D168,bileacid
ZhangXY_2021_Acarbose_D168.baiI,0.000381303,0.585,0.001715865,D0,baiI,ZhangXY_2021_Acarbose_D168,bileacid
ZhangXY_2021_Acarbose_D168.bsh,0.063340459,0.287,0.106887024,none,bsh,ZhangXY_2021_Acarbose_D168,bileacid
ZhangXY_2021_Vlidagliptin_D168.7-beta-hsdh,0.967834906,0.00637,1,none,7-beta-hsdh,ZhangXY_2021_Vlidagliptin_D168,bileacid
ZhangXY_2021_Vlidagliptin_D168.baiE,0.967834906,-0.00637,1,none,baiE,ZhangXY_2021_Vlidagliptin_D168,bileacid
ZhangXY_2021_Vlidagliptin_D168.baiI,0.525642553,-0.115,0.67582614,none,baiI,ZhangXY_2021_Vlidagliptin_D168,bileacid
ZhangXY_2021_Vlidagliptin_D168.bsh,0.276266315,0.172,0.372959526,none,bsh,ZhangXY_2021_Vlidagliptin_D168,bileacid
ZhangYF_2020_Berberine_D84.7-beta-hsdh,7.33E-08,-0.584,4.94E-07,D84,7-beta-hsdh,ZhangYF_2020_Berberine_D84,bileacid
ZhangYF_2020_Berberine_D84.baiE,0.004307498,0.309,0.005286475,D0,baiE,ZhangYF_2020_Berberine_D84,bileacid
ZhangYF_2020_Berberine_D84.baiI,0.000921108,0.359,0.001184282,D0,baiI,ZhangYF_2020_Berberine_D84,bileacid
ZhangYF_2020_Berberine_D84.bsh,0.042260359,-0.22,0.047542904,D84,bsh,ZhangYF_2020_Berberine_D84,bileacid
ZhangYF_2020_Placebo_D84.7-beta-hsdh,0.695788915,0.0399,0.78276253,none,7-beta-hsdh,ZhangYF_2020_Placebo_D84,bileacid
ZhangYF_2020_Placebo_D84.baiE,0.46486335,0.0746,0.576008026,none,baiE,ZhangYF_2020_Placebo_D84,bileacid
ZhangYF_2020_Placebo_D84.baiI,0.725424302,-0.0525,0.783458246,none,baiI,ZhangYF_2020_Placebo_D84,bileacid
ZhangYF_2020_Placebo_D84.bsh,0.837852303,0.0209,0.870077392,none,bsh,ZhangYF_2020_Placebo_D84,bileacid
