"","sign_p.value","effect_size","p.adjust","enrich","tax","group","enrich2"
"GuYY_2017_Acarbose_D90.Actinomyces_sp_ICM47",4.63908358886252e-06,-0.648,7.44830642878482e-05,"D90","Actinomyces_sp_ICM47","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Adlercreutzia_equolifaciens",0.252659502270558,0.161,0.342810310592447,"none","Adlercreutzia_equolifaciens","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Agathobaculum_butyriciproducens",0.151711605417073,-0.202,0.227174372878415,"none","Agathobaculum_butyriciproducens","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Akkermansia_muciniphila",0.112294402559698,-0.225,0.179298797457197,"none","Akkermansia_muciniphila","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Alistipes_communis",0.746403812544839,-0.0457,0.810942488065634,"none","Alistipes_communis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Alistipes_finegoldii",0.264870268605316,0.157,0.354386609383964,"none","Alistipes_finegoldii","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Alistipes_ihumii",0.233190706594415,-0.168,0.320914829551361,"none","Alistipes_ihumii","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Alistipes_indistinctus",0.0441452937390525,0.284,0.0850532659372412,"none","Alistipes_indistinctus","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Alistipes_onderdonkii",0.0702973764824457,0.256,0.122385191586909,"none","Alistipes_onderdonkii","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Alistipes_putredinis",0.000945543773925861,0.468,0.00345901456537435,"D0","Alistipes_putredinis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Alistipes_senegalensis",2.77690516140972e-06,-0.663,5.73232565462435e-05,"D90","Alistipes_senegalensis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Alistipes_shahii",0.0604410121121857,0.266,0.109858191826551,"none","Alistipes_shahii","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Alistipes_sp_AF17_16",0.194161602991827,0.184,0.275062270905089,"none","Alistipes_sp_AF17_16","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Allisonella_histaminiformans",2.01129562856409e-07,-0.735,7.26580545818779e-06,"D90","Allisonella_histaminiformans","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Anaerobutyricum_hallii",0.0332916789754082,-0.301,0.0687235373135212,"none","Anaerobutyricum_hallii","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Anaerobutyricum_soehngenii",0.12129731145172,-0.219,0.188467328008318,"none","Anaerobutyricum_soehngenii","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Anaerosacchariphilus_sp_NSJ_68",0.00124214461927003,-0.457,0.00422329170551811,"D90","Anaerosacchariphilus_sp_NSJ_68","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Anaerostipes_hadrus",9.43223637434914e-05,-0.552,0.000619526434587932,"D90","Anaerostipes_hadrus","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Anaerotignum_faecicola",0.000741325844279661,0.477,0.00293483793146332,"D0","Anaerotignum_faecicola","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Anaerotruncus_colihominis",0.0349237509084788,0.298,0.0715813050535487,"none","Anaerotruncus_colihominis","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Anaerotruncus_rubiinfantis",0.502282409269866,-0.0949,0.609914354113408,"none","Anaerotruncus_rubiinfantis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Bacteroides_caccae",0.290496063800578,0.15,0.385107167148473,"none","Bacteroides_caccae","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Bacteroides_cellulosilyticus",0.00101281911509554,0.465,0.00361363857114335,"D0","Bacteroides_cellulosilyticus","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bacteroides_clarus",0.632766014705938,0.0676,0.714333508789125,"none","Bacteroides_clarus","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Bacteroides_eggerthii",0.0431389799331097,-0.286,0.0836722496689174,"none","Bacteroides_eggerthii","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Bacteroides_faecis",0.0287814111618189,-0.31,0.0607140717209173,"none","Bacteroides_faecis","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Bacteroides_finegoldii",0.0866285041255004,0.242,0.147268457013351,"none","Bacteroides_finegoldii","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Bacteroides_fragilis",0.502282409269866,-0.0949,0.609914354113408,"none","Bacteroides_fragilis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Bacteroides_intestinalis",0.0020408487659922,0.436,0.0064109271018668,"D0","Bacteroides_intestinalis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bacteroides_nordii",0.0366236540216978,0.296,0.0745368733258497,"none","Bacteroides_nordii","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Bacteroides_ovatus",0.702977309253496,-0.0539,0.769547130205532,"none","Bacteroides_ovatus","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Bacteroides_salyersiae",0.0997876407895335,0.233,0.162930102758052,"none","Bacteroides_salyersiae","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Bacteroides_sp_AM10_21B",0.0004032820954101,-0.501,0.00176588675111392,"D90","Bacteroides_sp_AM10_21B","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bacteroides_stercoris",0.539887450952641,0.0867,0.650114472188805,"none","Bacteroides_stercoris","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Bacteroides_thetaiotaomicron",0.000198169250193114,0.526,0.00100475286501421,"D0","Bacteroides_thetaiotaomicron","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bacteroides_uniformis",0.0383935476550719,0.293,0.0775925543518585,"none","Bacteroides_uniformis","GuYY_2017_Acarbose_D90","P<=0.05"
"GuYY_2017_Acarbose_D90.Bacteroides_xylanisolvens",0.0173345817383299,0.337,0.0404007590514302,"D0","Bacteroides_xylanisolvens","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Barnesiella_intestinihominis",0.00697382926454671,-0.382,0.0183221514314,"D90","Barnesiella_intestinihominis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bifidobacterium_adolescentis",0.000643855133008109,-0.482,0.00258436296443533,"D90","Bifidobacterium_adolescentis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bifidobacterium_longum",5.05753300815509e-08,-0.771,3.08614868570019e-06,"D90","Bifidobacterium_longum","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bifidobacterium_pseudocatenulatum",4.22922567025828e-06,-0.651,7.44830642878482e-05,"D90","Bifidobacterium_pseudocatenulatum","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bilophila_SGB15451",8.02029719177541e-06,-0.631,0.000115893294421155,"D90","Bilophila_SGB15451","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bilophila_wadsworthia",0.00032333866823242,0.509,0.00148325198601856,"D0","Bilophila_wadsworthia","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Bittarella_massiliensis",0.260755620726379,-0.158,0.350504066929876,"none","Bittarella_massiliensis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Blautia_caecimuris",0.181229460242542,-0.19,0.25928373272324,"none","Blautia_caecimuris","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Blautia_faecicola",0.000621423597063203,-0.484,0.00252945661339811,"D90","Blautia_faecicola","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Blautia_faecis",0.957657782717216,-0.00751,0.964331356115942,"none","Blautia_faecis","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Blautia_glucerasea",0.632766014705938,0.0676,0.714333508789125,"none","Blautia_glucerasea","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Blautia_hansenii",0.0978155582114959,-0.235,0.160617592745013,"none","Blautia_hansenii","GuYY_2017_Acarbose_D90","None"
"GuYY_2017_Acarbose_D90.Blautia_luti",1.14705715174057e-05,-0.621,0.000138124798690057,"D90","Blautia_luti","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Blautia_massiliensis",0.000129438243740419,-0.542,0.000719377931557523,"D90","Blautia_massiliensis","GuYY_2017_Acarbose_D90","q<=0.05"
"GuYY_2017_Acarbose_D90.Blautia_obeum",0.0604410121121856,-0.266,0.109858191826551,"none","Blautia_obeum","GuYY_2017_Acarbose_D90","None"
