,from,to,size,size2,size3
2581,Bacteroides_coprocola,Bacteroides_finegoldii,-0.691764705882353,neg,0.691764705882353
3382,Alistipes_putredinis,Bacteroides_ovatus,0.578461538461538,pos,0.578461538461538
3384,Alistipes_shahii,Bacteroides_ovatus,0.688054298642534,pos,0.688054298642534
3399,Bacteroides_nordii,Bacteroides_ovatus,-0.658823529411765,neg,0.658823529411765
3400,Bacteroides_oleiciplenus,Bacteroides_ovatus,-0.568054298642534,neg,0.568054298642534
3669,Bacteroides_nordii,Bacteroides_salyersiae,0.621266968325792,pos,0.621266968325792
4600,Anaerostipes_hadrus,Bifidobacterium_adolescentis,-0.60262443438914,neg,0.60262443438914
5002,Alistipes_putredinis,Bilophila_wadsworthia,-0.607058823529412,neg,0.607058823529412
5290,Bacteroides_oleiciplenus,Butyricimonas_synergistica,0.634027149321267,pos,0.634027149321267
5291,Bacteroides_ovatus,Butyricimonas_synergistica,-0.584977375565611,neg,0.584977375565611
5545,Anaerostipes_hadrus,Citrobacter_freundii,-0.591221719457014,neg,0.591221719457014
5576,candidate_division_TM7_single_cell_isolate_TM7c,Citrobacter_freundii,0.84552036199095,pos,0.84552036199095
5681,Anaerotruncus_colihominis,Clostridiaceae_bacterium_JC118,0.787873303167421,pos,0.787873303167421
5690,Bacteroides_finegoldii,Clostridiaceae_bacterium_JC118,0.674751131221719,pos,0.674751131221719
5696,Bacteroides_ovatus,Clostridiaceae_bacterium_JC118,-0.791945701357466,neg,0.791945701357466
5700,Bacteroides_thetaiotaomicron,Clostridiaceae_bacterium_JC118,-0.472669683257919,neg,0.472669683257919
5816,Anaerotruncus_colihominis,Clostridiales_bacterium_1_7_47FAA,0.654117647058823,pos,0.654117647058823
5848,Clostridiaceae_bacterium_JC118,Clostridiales_bacterium_1_7_47FAA,0.490588235294118,pos,0.490588235294118
5966,Bacteroides_ovatus,Clostridium_asparagiforme,-0.74579185520362,neg,0.74579185520362
6230,Bacteroides_finegoldii,Clostridium_bolteae,0.733484162895927,pos,0.733484162895927
6236,Bacteroides_ovatus,Clostridium_bolteae,-0.786968325791855,neg,0.786968325791855
6371,Bacteroides_ovatus,Clostridium_citroniae,-0.73158371040724,neg,0.73158371040724
6491,Anaerotruncus_colihominis,Clostridium_clostridioforme,0.736380090497737,pos,0.736380090497737
6505,Bacteroides_oleiciplenus,Clostridium_clostridioforme,0.709049773755656,pos,0.709049773755656
