,label,value,phylum
Actinomyces_graevenitzii,Actinomyces_graevenitzii,17,Actinobacteria
Adlercreutzia_equolifaciens,Adlercreutzia_equolifaciens,3,Actinobacteria
Akkermansia_muciniphila,Akkermansia_muciniphila,0,Verrucomicrobia
Alistipes_finegoldii,Alistipes_finegoldii,8,Bacteroidetes
Alistipes_indistinctus,Alistipes_indistinctus,8,Bacteroidetes
Alistipes_onderdonkii,Alistipes_onderdonkii,9,Bacteroidetes
Alistipes_putredinis,Alistipes_putredinis,0,Bacteroidetes
Alistipes_senegalensis,Alistipes_senegalensis,20,Bacteroidetes
Alistipes_shahii,Alistipes_shahii,11,Bacteroidetes
Anaerostipes_hadrus,Anaerostipes_hadrus,0,Firmicutes
Anaerotruncus_colihominis,Anaerotruncus_colihominis,10,Firmicutes
Bacteroidales_bacterium_ph8,Bacteroidales_bacterium_ph8,37,Bacteroidetes
Bacteroides_caccae,Bacteroides_caccae,0,Bacteroidetes
Bacteroides_cellulosilyticus,Bacteroides_cellulosilyticus,24,Bacteroidetes
Bacteroides_clarus,Bacteroides_clarus,23,Bacteroidetes
Bacteroides_coprocola,Bacteroides_coprocola,1,Bacteroidetes
Bacteroides_dorei,Bacteroides_dorei,0,Bacteroidetes
Bacteroides_eggerthii,Bacteroides_eggerthii,1,Bacteroidetes
Bacteroides_faecis,Bacteroides_faecis,4,Bacteroidetes
Bacteroides_finegoldii,Bacteroides_finegoldii,1,Bacteroidetes
Bacteroides_fragilis,Bacteroides_fragilis,0,Bacteroidetes
Bacteroides_intestinalis,Bacteroides_intestinalis,6,Bacteroidetes
Bacteroides_massiliensis,Bacteroides_massiliensis,1,Bacteroidetes
Bacteroides_nordii,Bacteroides_nordii,6,Bacteroidetes
Bacteroides_oleiciplenus,Bacteroides_oleiciplenus,14,Bacteroidetes
Bacteroides_ovatus,Bacteroides_ovatus,3,Bacteroidetes
Bacteroides_plebeius,Bacteroides_plebeius,0,Bacteroidetes
Bacteroides_salyersiae,Bacteroides_salyersiae,11,Bacteroidetes
Bacteroides_stercoris,Bacteroides_stercoris,1,Bacteroidetes
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron,5,Bacteroidetes
Bacteroides_uniformis,Bacteroides_uniformis,1,Bacteroidetes
Bacteroides_vulgatus,Bacteroides_vulgatus,0,Bacteroidetes
Bacteroides_xylanisolvens,Bacteroides_xylanisolvens,11,Bacteroidetes
Barnesiella_intestinihominis,Barnesiella_intestinihominis,2,Bacteroidetes
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,7,Actinobacteria
Bifidobacterium_longum,Bifidobacterium_longum,1,Actinobacteria
Bifidobacterium_pseudocatenulatum,Bifidobacterium_pseudocatenulatum,0,Actinobacteria
Bilophila_wadsworthia,Bilophila_wadsworthia,9,Proteobacteria
Burkholderiales_bacterium_1_1_47,Burkholderiales_bacterium_1_1_47,2,Proteobacteria
Butyricimonas_synergistica,Butyricimonas_synergistica,20,Bacteroidetes
candidate_division_TM7_single_cell_isolate_TM7c,candidate_division_TM7_single_cell_isolate_TM7c,2,Candidatus_Saccharibacteria
Citrobacter_freundii,Citrobacter_freundii,6,Proteobacteria
Clostridiaceae_bacterium_JC118,Clostridiaceae_bacterium_JC118,14,Firmicutes
Clostridiales_bacterium_1_7_47FAA,Clostridiales_bacterium_1_7_47FAA,4,Firmicutes
Clostridium_asparagiforme,Clostridium_asparagiforme,24,Firmicutes
Clostridium_bartlettii,Clostridium_bartlettii,3,Firmicutes
Clostridium_bolteae,Clostridium_bolteae,9,Firmicutes
Clostridium_citroniae,Clostridium_citroniae,7,Firmicutes
Clostridium_clostridioforme,Clostridium_clostridioforme,9,Firmicutes
Clostridium_hathewayi,Clostridium_hathewayi,1,Firmicutes
Clostridium_innocuum,Clostridium_innocuum,13,Firmicutes
Clostridium_leptum,Clostridium_leptum,16,Firmicutes
Clostridium_nexile,Clostridium_nexile,14,Firmicutes
Clostridium_ramosum,Clostridium_ramosum,3,Firmicutes
Clostridium_symbiosum,Clostridium_symbiosum,4,Firmicutes
Collinsella_aerofaciens,Collinsella_aerofaciens,0,Actinobacteria
Coprobacter_fastidiosus,Coprobacter_fastidiosus,22,Bacteroidetes
Coprococcus_catus,Coprococcus_catus,7,Firmicutes
Coprococcus_comes,Coprococcus_comes,3,Firmicutes
Desulfovibrio_desulfuricans,Desulfovibrio_desulfuricans,20,Proteobacteria
Dialister_invisus,Dialister_invisus,4,Firmicutes
Dorea_formicigenerans,Dorea_formicigenerans,3,Firmicutes
Dorea_longicatena,Dorea_longicatena,0,Firmicutes
Eggerthella_lenta,Eggerthella_lenta,6,Actinobacteria
Enterobacter_cloacae,Enterobacter_cloacae,0,Proteobacteria
Erysipelotrichaceae_bacterium_2_2_44A,Erysipelotrichaceae_bacterium_2_2_44A,7,Firmicutes
Erysipelotrichaceae_bacterium_21_3,Erysipelotrichaceae_bacterium_21_3,13,Firmicutes
Erysipelotrichaceae_bacterium_6_1_45,Erysipelotrichaceae_bacterium_6_1_45,5,Firmicutes
Escherichia_coli,Escherichia_coli,1,Proteobacteria
Eubacterium_biforme,Eubacterium_biforme,1,Firmicutes
Eubacterium_eligens,Eubacterium_eligens,0,Firmicutes
Eubacterium_hallii,Eubacterium_hallii,0,Firmicutes
Eubacterium_ramulus,Eubacterium_ramulus,1,Firmicutes
Eubacterium_rectale,Eubacterium_rectale,0,Firmicutes
Eubacterium_siraeum,Eubacterium_siraeum,3,Firmicutes
Eubacterium_ventriosum,Eubacterium_ventriosum,1,Firmicutes
Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii,4,Firmicutes
Flavonifractor_plautii,Flavonifractor_plautii,7,Firmicutes
Gemella_sanguinis,Gemella_sanguinis,3,Firmicutes
Gordonibacter_pamelaeae,Gordonibacter_pamelaeae,14,Actinobacteria
Granulicatella_adiacens,Granulicatella_adiacens,11,Firmicutes
Haemophilus_parainfluenzae,Haemophilus_parainfluenzae,1,Proteobacteria
Holdemania_filiformis,Holdemania_filiformis,12,Firmicutes
Klebsiella_pneumoniae,Klebsiella_pneumoniae,0,Proteobacteria
