,from,to,size,size2,size3
1223,Alistipes_senegalensis,Anaerostipes_hadrus,0.463005667383232,pos,0.463005667383232
1359,Alistipes_shahii,Anaerotruncus_colihominis,0.416435411373852,pos,0.416435411373852
1487,Adlercreutzia_equolifaciens,Bacteroidales_bacterium_ph8,0.686945475864765,pos,0.686945475864765
1491,Alistipes_onderdonkii,Bacteroidales_bacterium_ph8,-0.457475083056478,neg,0.457475083056478
1902,Bacteroidales_bacterium_ph8,Bacteroides_clarus,0.611842876685558,pos,0.611842876685558
4457,Adlercreutzia_equolifaciens,Barnesiella_intestinihominis,0.690560875512996,pos,0.690560875512996
4592,Adlercreutzia_equolifaciens,Bifidobacterium_adolescentis,0.405745554035568,pos,0.405745554035568
4598,Alistipes_senegalensis,Bifidobacterium_adolescentis,0.506449091264413,pos,0.506449091264413
4602,Bacteroidales_bacterium_ph8,Bifidobacterium_adolescentis,0.485030291186242,pos,0.485030291186242
4727,Adlercreutzia_equolifaciens,Bifidobacterium_longum,0.681825288254837,pos,0.681825288254837
4730,Alistipes_indistinctus,Bifidobacterium_longum,0.491987492671487,pos,0.491987492671487
4737,Bacteroidales_bacterium_ph8,Bifidobacterium_longum,0.751143247996873,pos,0.751143247996873
4744,Bacteroides_faecis,Bifidobacterium_longum,0.486163767832715,pos,0.486163767832715
4759,Barnesiella_intestinihominis,Bifidobacterium_longum,0.663240179792847,pos,0.663240179792847
4760,Bifidobacterium_adolescentis,Bifidobacterium_longum,0.600605823724839,pos,0.600605823724839
4862,Adlercreutzia_equolifaciens,Bifidobacterium_pseudocatenulatum,0.649403947625562,pos,0.649403947625562
4865,Alistipes_indistinctus,Bifidobacterium_pseudocatenulatum,0.649951143247997,pos,0.649951143247997
4872,Bacteroidales_bacterium_ph8,Bifidobacterium_pseudocatenulatum,0.558628102403752,pos,0.558628102403752
4894,Barnesiella_intestinihominis,Bifidobacterium_pseudocatenulatum,0.526968927105726,pos,0.526968927105726
4895,Bifidobacterium_adolescentis,Bifidobacterium_pseudocatenulatum,0.688450263826461,pos,0.688450263826461
4896,Bifidobacterium_longum,Bifidobacterium_pseudocatenulatum,0.397830760211061,pos,0.397830760211061
5003,Alistipes_senegalensis,Bilophila_wadsworthia,-0.42937267930428,neg,0.42937267930428
5299,Barnesiella_intestinihominis,Butyricimonas_synergistica,0.471604455735783,pos,0.471604455735783
5301,Bifidobacterium_longum,Butyricimonas_synergistica,0.412096931795974,pos,0.412096931795974
5302,Bifidobacterium_pseudocatenulatum,Butyricimonas_synergistica,0.512116474496775,pos,0.512116474496775
5571,Bifidobacterium_longum,Citrobacter_freundii,0.44594488958374,pos,0.44594488958374
5576,candidate_division_TM7_single_cell_isolate_TM7c,Citrobacter_freundii,-0.60578463943717,neg,0.60578463943717
5704,Barnesiella_intestinihominis,Clostridiaceae_bacterium_JC118,0.477017783857729,pos,0.477017783857729
5942,Adlercreutzia_equolifaciens,Clostridium_asparagiforme,0.546570256009381,pos,0.546570256009381
5952,Bacteroidales_bacterium_ph8,Clostridium_asparagiforme,0.824115692788743,pos,0.824115692788743
5959,Bacteroides_faecis,Clostridium_asparagiforme,0.482743795192496,pos,0.482743795192496
5965,Bacteroides_oleiciplenus,Clostridium_asparagiforme,0.566015243306625,pos,0.566015243306625
5974,Barnesiella_intestinihominis,Clostridium_asparagiforme,0.517901113933946,pos,0.517901113933946
5975,Bifidobacterium_adolescentis,Clostridium_asparagiforme,0.763826460816885,pos,0.763826460816885
5976,Bifidobacterium_longum,Clostridium_asparagiforme,0.722630447527848,pos,0.722630447527848
5977,Bifidobacterium_pseudocatenulatum,Clostridium_asparagiforme,0.702149697088138,pos,0.702149697088138
5980,Butyricimonas_synergistica,Clostridium_asparagiforme,0.594625757279656,pos,0.594625757279656
6500,Bacteroides_finegoldii,Clostridium_clostridioforme,-0.431541919093219,neg,0.431541919093219
6503,Bacteroides_massiliensis,Clostridium_clostridioforme,-0.43453195231581,neg,0.43453195231581
6506,Bacteroides_ovatus,Clostridium_clostridioforme,0.447840531561462,pos,0.447840531561462
7206,Clostridium_innocuum,Clostridium_ramosum,-0.496794997068595,neg,0.496794997068595
7427,Adlercreutzia_equolifaciens,Collinsella_aerofaciens,0.838870431893688,pos,0.838870431893688
7430,Alistipes_indistinctus,Collinsella_aerofaciens,0.736623021301544,pos,0.736623021301544
7433,Alistipes_senegalensis,Collinsella_aerofaciens,0.55546218487395,pos,0.55546218487395
7437,Bacteroidales_bacterium_ph8,Collinsella_aerofaciens,0.739300371311315,pos,0.739300371311315
7450,Bacteroides_oleiciplenus,Collinsella_aerofaciens,0.502638264608169,pos,0.502638264608169
7460,Bifidobacterium_adolescentis,Collinsella_aerofaciens,0.787785811999218,pos,0.787785811999218
7461,Bifidobacterium_longum,Collinsella_aerofaciens,0.713894860269689,pos,0.713894860269689
7462,Bifidobacterium_pseudocatenulatum,Collinsella_aerofaciens,0.621809654094196,pos,0.621809654094196
7465,Butyricimonas_synergistica,Collinsella_aerofaciens,0.53156146179402,pos,0.53156146179402
7470,Clostridium_asparagiforme,Collinsella_aerofaciens,1.00920461207739,pos,1.00920461207739
7473,Clostridium_citroniae,Collinsella_aerofaciens,0.464275942935314,pos,0.464275942935314
7480,Clostridium_symbiosum,Collinsella_aerofaciens,0.49812390072308,pos,0.49812390072308
7562,Adlercreutzia_equolifaciens,Coprobacter_fastidiosus,0.544752784834864,pos,0.544752784834864
7587,Bacteroides_plebeius,Coprobacter_fastidiosus,0.616963064295486,pos,0.616963064295486
7594,Barnesiella_intestinihominis,Coprobacter_fastidiosus,0.656791088528435,pos,0.656791088528435
7596,Bifidobacterium_longum,Coprobacter_fastidiosus,0.800019542700801,pos,0.800019542700801
7597,Bifidobacterium_pseudocatenulatum,Coprobacter_fastidiosus,0.563709204612078,pos,0.563709204612078
7600,Butyricimonas_synergistica,Coprobacter_fastidiosus,0.475864764510455,pos,0.475864764510455
7605,Clostridium_asparagiforme,Coprobacter_fastidiosus,0.795114324799687,pos,0.795114324799687
7608,Clostridium_citroniae,Coprobacter_fastidiosus,0.601758843072113,pos,0.601758843072113
7615,Clostridium_symbiosum,Coprobacter_fastidiosus,0.499941371897596,pos,0.499941371897596
7616,Collinsella_aerofaciens,Coprobacter_fastidiosus,0.817862028532343,pos,0.817862028532343
7706,Anaerotruncus_colihominis,Coprococcus_catus,0.423314442055892,pos,0.423314442055892
7749,Clostridium_ramosum,Coprococcus_catus,-0.42233730701583,neg,0.42233730701583
7977,Bacteroidales_bacterium_ph8,Desulfovibrio_desulfuricans,0.530682040257964,pos,0.530682040257964
8021,Collinsella_aerofaciens,Desulfovibrio_desulfuricans,0.571643541137385,pos,0.571643541137385
8426,Collinsella_aerofaciens,Dorea_longicatena,-0.438362321672855,neg,0.438362321672855
8507,Adlercreutzia_equolifaciens,Eggerthella_lenta,0.549325776822357,pos,0.549325776822357
8510,Alistipes_indistinctus,Eggerthella_lenta,0.516376783271448,pos,0.516376783271448
8541,Bifidobacterium_longum,Eggerthella_lenta,0.855970295094782,pos,0.855970295094782
8542,Bifidobacterium_pseudocatenulatum,Eggerthella_lenta,0.771975767051006,pos,0.771975767051006
8561,Collinsella_aerofaciens,Eggerthella_lenta,0.665683017393004,pos,0.665683017393004
8562,Coprobacter_fastidiosus,Eggerthella_lenta,0.687688098495212,pos,0.687688098495212
8685,Clostridium_asparagiforme,Enterobacter_cloacae,0.448641782294313,pos,0.448641782294313
8820,Clostridium_asparagiforme,Erysipelotrichaceae_bacterium_2_2_44A,0.596423685753371,pos,0.596423685753371
8826,Clostridium_innocuum,Erysipelotrichaceae_bacterium_2_2_44A,-0.505569669728356,neg,0.505569669728356
8946,Bifidobacterium_longum,Erysipelotrichaceae_bacterium_21_3,0.566679695133868,pos,0.566679695133868
8955,Clostridium_asparagiforme,Erysipelotrichaceae_bacterium_21_3,0.535372288450264,pos,0.535372288450264
8964,Clostridium_ramosum,Erysipelotrichaceae_bacterium_21_3,-0.568047684189955,neg,0.568047684189955
8966,Collinsella_aerofaciens,Erysipelotrichaceae_bacterium_21_3,0.481649403947626,pos,0.481649403947626
8976,Erysipelotrichaceae_bacterium_2_2_44A,Erysipelotrichaceae_bacterium_21_3,-0.445339065858902,neg,0.445339065858902
9093,Clostridium_citroniae,Erysipelotrichaceae_bacterium_6_1_45,0.489036544850498,pos,0.489036544850498
9099,Clostridium_ramosum,Erysipelotrichaceae_bacterium_6_1_45,-0.472620676177448,neg,0.472620676177448
9111,Erysipelotrichaceae_bacterium_2_2_44A,Erysipelotrichaceae_bacterium_6_1_45,-0.427086183310534,neg,0.427086183310534
9351,Bifidobacterium_longum,Eubacterium_biforme,0.49452804377565,pos,0.49452804377565
9352,Bifidobacterium_pseudocatenulatum,Eubacterium_biforme,0.590091850693766,pos,0.590091850693766
9360,Clostridium_asparagiforme,Eubacterium_biforme,0.538694547586477,pos,0.538694547586477
9366,Clostridium_innocuum,Eubacterium_biforme,-0.456341606410006,neg,0.456341606410006
9369,Clostridium_ramosum,Eubacterium_biforme,-0.507914793824507,neg,0.507914793824507
9754,Barnesiella_intestinihominis,Eubacterium_ramulus,0.510807113543092,pos,0.510807113543092
9778,Coprococcus_catus,Eubacterium_ramulus,0.516025014657026,pos,0.516025014657026
9992,Adlercreutzia_equolifaciens,Eubacterium_siraeum,0.696286886847762,pos,0.696286886847762
9998,Alistipes_senegalensis,Eubacterium_siraeum,0.453527457494626,pos,0.453527457494626
10015,Bacteroides_oleiciplenus,Eubacterium_siraeum,0.561188196208716,pos,0.561188196208716
10026,Bifidobacterium_longum,Eubacterium_siraeum,0.875825679108853,pos,0.875825679108853
10027,Bifidobacterium_pseudocatenulatum,Eubacterium_siraeum,0.796130545241353,pos,0.796130545241353
10031,candidate_division_TM7_single_cell_isolate_TM7c,Eubacterium_siraeum,-0.41031854602306,neg,0.41031854602306
10035,Clostridium_asparagiforme,Eubacterium_siraeum,0.853214774281806,pos,0.853214774281806
10046,Collinsella_aerofaciens,Eubacterium_siraeum,0.829138166894665,pos,0.829138166894665
10047,Coprobacter_fastidiosus,Eubacterium_siraeum,0.700644909126441,pos,0.700644909126441
10054,Eggerthella_lenta,Eubacterium_siraeum,0.48639828024233,pos,0.48639828024233
10443,Clostridium_citroniae,Flavonifractor_plautii,-0.476333789329685,neg,0.476333789329685
10566,Bifidobacterium_longum,Gemella_sanguinis,0.555169044361931,pos,0.555169044361931
10586,Collinsella_aerofaciens,Gemella_sanguinis,0.52233730701583,pos,0.52233730701583
10701,Bifidobacterium_longum,Gordonibacter_pamelaeae,0.685909712722298,pos,0.685909712722298
10702,Bifidobacterium_pseudocatenulatum,Gordonibacter_pamelaeae,0.63077975376197,pos,0.63077975376197
10706,candidate_division_TM7_single_cell_isolate_TM7c,Gordonibacter_pamelaeae,-0.497478991596639,neg,0.497478991596639
10710,Clostridium_asparagiforme,Gordonibacter_pamelaeae,0.630213015438734,pos,0.630213015438734
10721,Collinsella_aerofaciens,Gordonibacter_pamelaeae,0.778659370725034,pos,0.778659370725034
10836,Bifidobacterium_longum,Granulicatella_adiacens,0.586730506155951,pos,0.586730506155951
10837,Bifidobacterium_pseudocatenulatum,Granulicatella_adiacens,0.515849130349814,pos,0.515849130349814
10856,Collinsella_aerofaciens,Granulicatella_adiacens,0.476646472542505,pos,0.476646472542505
11012,Faecalibacterium_prausnitzii,Haemophilus_parainfluenzae,-0.539261285909713,neg,0.539261285909713
11103,Bacteroides_xylanisolvens,Holdemania_filiformis,-0.499296462771155,neg,0.499296462771155
11246,candidate_division_TM7_single_cell_isolate_TM7c,Klebsiella_pneumoniae,-0.475708422904045,neg,0.475708422904045
11370,Bacteroides_thetaiotaomicron,Lachnospiraceae_bacterium_1_1_57FAA,0.417197576705101,pos,0.417197576705101
11383,Clostridiaceae_bacterium_JC118,Lachnospiraceae_bacterium_1_1_57FAA,0.467793629079539,pos,0.467793629079539
11656,Clostridium_bartlettii,Lachnospiraceae_bacterium_2_1_58FAA,0.450166112956811,pos,0.450166112956811
11801,Collinsella_aerofaciens,Lachnospiraceae_bacterium_3_1_46FAA,0.430994723470784,pos,0.430994723470784
11820,Eubacterium_siraeum,Lachnospiraceae_bacterium_3_1_46FAA,0.421047488762947,pos,0.421047488762947
11906,Bacteroides_ovatus,Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.451436388508892,pos,0.451436388508892
11916,Bifidobacterium_longum,Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.554270080125073,pos,0.554270080125073
11928,Clostridium_citroniae,Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.447508305647841,pos,0.447508305647841
11936,Collinsella_aerofaciens,Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.518096540941958,pos,0.518096540941958
11968,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.488919288645691,pos,0.488919288645691
12153,Akkermansia_muciniphila,Lachnospiraceae_bacterium_7_1_58FAA,-0.543247996873168,neg,0.543247996873168
12165,Bacteroides_clarus,Lachnospiraceae_bacterium_7_1_58FAA,-0.421321086574165,neg,0.421321086574165
12326,candidate_division_TM7_single_cell_isolate_TM7c,Lachnospiraceae_bacterium_8_1_57FAA,-0.716025014657026,neg,0.716025014657026
12336,Clostridium_innocuum,Lachnospiraceae_bacterium_8_1_57FAA,-0.483720930232558,neg,0.483720930232558
12339,Clostridium_ramosum,Lachnospiraceae_bacterium_8_1_57FAA,-0.54125464139144,neg,0.54125464139144
12442,Bacteroides_intestinalis,Lachnospiraceae_bacterium_9_1_43BFAA,0.450693765878444,pos,0.450693765878444
12456,Bifidobacterium_longum,Lachnospiraceae_bacterium_9_1_43BFAA,0.578600742622631,pos,0.578600742622631
12461,candidate_division_TM7_single_cell_isolate_TM7c,Lachnospiraceae_bacterium_9_1_43BFAA,-0.551788157123314,neg,0.551788157123314
12471,Clostridium_innocuum,Lachnospiraceae_bacterium_9_1_43BFAA,-0.52374438147352,neg,0.52374438147352
12474,Clostridium_ramosum,Lachnospiraceae_bacterium_9_1_43BFAA,-0.484033613445378,neg,0.484033613445378
12557,Adlercreutzia_equolifaciens,Megamonas_funiformis,0.704553449286692,pos,0.704553449286692
12567,Bacteroidales_bacterium_ph8,Megamonas_funiformis,0.629274965800274,pos,0.629274965800274
12570,Bacteroides_clarus,Megamonas_funiformis,0.451084619894469,pos,0.451084619894469
12591,Bifidobacterium_longum,Megamonas_funiformis,0.67688098495212,pos,0.67688098495212
12592,Bifidobacterium_pseudocatenulatum,Megamonas_funiformis,0.832890365448505,pos,0.832890365448505
12600,Clostridium_asparagiforme,Megamonas_funiformis,0.78811803791284,pos,0.78811803791284
12611,Collinsella_aerofaciens,Megamonas_funiformis,0.600429939417628,pos,0.600429939417628
12612,Coprobacter_fastidiosus,Megamonas_funiformis,0.514207543482509,pos,0.514207543482509
12619,Eggerthella_lenta,Megamonas_funiformis,0.531893687707641,pos,0.531893687707641
12630,Eubacterium_siraeum,Megamonas_funiformis,0.575102599179207,pos,0.575102599179207
12702,Bacteroidales_bacterium_ph8,Megamonas_hypermegale,0.514051201876099,pos,0.514051201876099
12724,Barnesiella_intestinihominis,Megamonas_hypermegale,0.546804768418996,pos,0.546804768418996
12726,Bifidobacterium_longum,Megamonas_hypermegale,0.512702755520813,pos,0.512702755520813
12727,Bifidobacterium_pseudocatenulatum,Megamonas_hypermegale,0.625581395348837,pos,0.625581395348837
12735,Clostridium_asparagiforme,Megamonas_hypermegale,0.534610123119015,pos,0.534610123119015
12746,Collinsella_aerofaciens,Megamonas_hypermegale,0.647781903459058,pos,0.647781903459058
12827,Adlercreutzia_equolifaciens,Megamonas_rupellensis,0.538245065468048,pos,0.538245065468048
12840,Bacteroides_clarus,Megamonas_rupellensis,0.50359585694743,pos,0.50359585694743
12860,Bifidobacterium_adolescentis,Megamonas_rupellensis,0.50453390658589,pos,0.50453390658589
12861,Bifidobacterium_longum,Megamonas_rupellensis,0.605081102208325,pos,0.605081102208325
12862,Bifidobacterium_pseudocatenulatum,Megamonas_rupellensis,0.732167285518859,pos,0.732167285518859
12870,Clostridium_asparagiforme,Megamonas_rupellensis,0.560054719562244,pos,0.560054719562244
12881,Collinsella_aerofaciens,Megamonas_rupellensis,0.546238030095759,pos,0.546238030095759
12882,Coprobacter_fastidiosus,Megamonas_rupellensis,0.516357240570647,pos,0.516357240570647
12972,Bacteroidales_bacterium_ph8,Odoribacter_splanchnicus,-0.520852061754934,neg,0.520852061754934
13097,Adlercreutzia_equolifaciens,Oxalobacter_formigenes,0.533320304866132,pos,0.533320304866132
13107,Bacteroidales_bacterium_ph8,Oxalobacter_formigenes,0.539183115106508,pos,0.539183115106508
13131,Bifidobacterium_longum,Oxalobacter_formigenes,0.669298417041235,pos,0.669298417041235
13132,Bifidobacterium_pseudocatenulatum,Oxalobacter_formigenes,0.728786398280242,pos,0.728786398280242
13140,Clostridium_asparagiforme,Oxalobacter_formigenes,0.732401797928474,pos,0.732401797928474
13151,Collinsella_aerofaciens,Oxalobacter_formigenes,0.561794019933555,pos,0.561794019933555
13170,Eubacterium_siraeum,Oxalobacter_formigenes,0.657162399843658,pos,0.657162399843658
13293,Dorea_longicatena,Parabacteroides_distasonis,-0.394313074066836,neg,0.394313074066836
13459,Megamonas_funiformis,Parabacteroides_goldsteinii,0.476040648817667,pos,0.476040648817667
13679,Clostridiales_bacterium_1_7_47FAA,Parabacteroides_merdae,0.371330857924565,pos,0.371330857924565
13942,Bifidobacterium_pseudocatenulatum,Paraprevotella_xylaniphila,0.510259917920657,pos,0.510259917920657
13961,Collinsella_aerofaciens,Paraprevotella_xylaniphila,0.472562048075044,pos,0.472562048075044
14060,Bacteroides_finegoldii,Parasutterella_excrementihominis,0.501153019347274,pos,0.501153019347274
14087,Clostridium_bolteae,Parasutterella_excrementihominis,-0.456263435606801,neg,0.456263435606801
14199,Bacteroides_nordii,Prevotella_copri,0.522474105921438,pos,0.522474105921438
14206,Bacteroides_uniformis,Prevotella_copri,0.439339456712918,pos,0.439339456712918
14211,Bifidobacterium_longum,Prevotella_copri,0.530975180769983,pos,0.530975180769983
14447,Adlercreutzia_equolifaciens,Roseburia_hominis,0.584932577682236,pos,0.584932577682236
14453,Alistipes_senegalensis,Roseburia_hominis,0.499824115692789,pos,0.499824115692789
14480,Bifidobacterium_adolescentis,Roseburia_hominis,0.524506546804768,pos,0.524506546804768
14481,Bifidobacterium_longum,Roseburia_hominis,0.667226890756303,pos,0.667226890756303
14482,Bifidobacterium_pseudocatenulatum,Roseburia_hominis,0.822298221614227,pos,0.822298221614227
14490,Clostridium_asparagiforme,Roseburia_hominis,0.500605823724839,pos,0.500605823724839
14501,Collinsella_aerofaciens,Roseburia_hominis,0.518135626343561,pos,0.518135626343561
14502,Coprobacter_fastidiosus,Roseburia_hominis,0.53969122532734,pos,0.53969122532734
14552,Prevotella_stercorea,Roseburia_hominis,0.512448700410397,pos,0.512448700410397
14582,Adlercreutzia_equolifaciens,Roseburia_intestinalis,0.695974203634942,pos,0.695974203634942
14585,Alistipes_indistinctus,Roseburia_intestinalis,0.659097127222982,pos,0.659097127222982
14595,Bacteroides_clarus,Roseburia_intestinalis,0.472444791870236,pos,0.472444791870236
14616,Bifidobacterium_longum,Roseburia_intestinalis,0.575258940785617,pos,0.575258940785617
14617,Bifidobacterium_pseudocatenulatum,Roseburia_intestinalis,0.659233926128591,pos,0.659233926128591
14620,Butyricimonas_synergistica,Roseburia_intestinalis,0.383427789720539,pos,0.383427789720539
14625,Clostridium_asparagiforme,Roseburia_intestinalis,0.648641782294313,pos,0.648641782294313
14655,Eubacterium_siraeum,Roseburia_intestinalis,0.764627711549736,pos,0.764627711549736
14669,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Roseburia_intestinalis,0.503654485049834,pos,0.503654485049834
14717,Adlercreutzia_equolifaciens,Roseburia_inulinivorans,0.609263240179793,pos,0.609263240179793
14720,Alistipes_indistinctus,Roseburia_inulinivorans,0.564451827242525,pos,0.564451827242525
14721,Alistipes_onderdonkii,Roseburia_inulinivorans,-0.495641977721321,neg,0.495641977721321
14752,Bifidobacterium_pseudocatenulatum,Roseburia_inulinivorans,0.593081883916357,pos,0.593081883916357
14760,Clostridium_asparagiforme,Roseburia_inulinivorans,0.493844049247606,pos,0.493844049247606
14763,Clostridium_citroniae,Roseburia_inulinivorans,0.404514363885089,pos,0.404514363885089
14790,Eubacterium_siraeum,Roseburia_inulinivorans,0.592632401797929,pos,0.592632401797929
14809,Megamonas_funiformis,Roseburia_inulinivorans,0.518096540941958,pos,0.518096540941958
14810,Megamonas_hypermegale,Roseburia_inulinivorans,0.464197772132109,pos,0.464197772132109
15021,Bifidobacterium_longum,Ruminococcaceae_bacterium_D16,0.458354504592535,pos,0.458354504592535
15041,Collinsella_aerofaciens,Ruminococcaceae_bacterium_D16,0.679187023646668,pos,0.679187023646668
15093,Roseburia_hominis,Ruminococcaceae_bacterium_D16,0.480203244088333,pos,0.480203244088333
15122,Adlercreutzia_equolifaciens,Ruminococcus_albus,0.638479577877663,pos,0.638479577877663
15132,Bacteroidales_bacterium_ph8,Ruminococcus_albus,0.728805940981044,pos,0.728805940981044
15145,Bacteroides_oleiciplenus,Ruminococcus_albus,0.483740472933359,pos,0.483740472933359
15154,Barnesiella_intestinihominis,Ruminococcus_albus,0.589427398866523,pos,0.589427398866523
15155,Bifidobacterium_adolescentis,Ruminococcus_albus,0.614207543482509,pos,0.614207543482509
15156,Bifidobacterium_longum,Ruminococcus_albus,0.790267735000977,pos,0.790267735000977
15157,Bifidobacterium_pseudocatenulatum,Ruminococcus_albus,0.79546609341411,pos,0.79546609341411
15160,Butyricimonas_synergistica,Ruminococcus_albus,0.579538792261091,pos,0.579538792261091
15165,Clostridium_asparagiforme,Ruminococcus_albus,0.517490717217119,pos,0.517490717217119
15176,Collinsella_aerofaciens,Ruminococcus_albus,0.857631424662889,pos,0.857631424662889
15177,Coprobacter_fastidiosus,Ruminococcus_albus,0.658393589994137,pos,0.658393589994137
15184,Eggerthella_lenta,Ruminococcus_albus,0.606488176666015,pos,0.606488176666015
15195,Eubacterium_siraeum,Ruminococcus_albus,0.774633574359977,pos,0.774633574359977
15214,Megamonas_funiformis,Ruminococcus_albus,0.701641586867305,pos,0.701641586867305
15215,Megamonas_hypermegale,Ruminococcus_albus,0.383779558334962,pos,0.383779558334962
15216,Megamonas_rupellensis,Ruminococcus_albus,0.517529802618722,pos,0.517529802618722
15218,Oxalobacter_formigenes,Ruminococcus_albus,0.63140512018761,pos,0.63140512018761
15223,Paraprevotella_clara,Ruminococcus_albus,0.481864373656439,pos,0.481864373656439
15229,Roseburia_intestinalis,Ruminococcus_albus,0.655989837795583,pos,0.655989837795583
15266,Anaerotruncus_colihominis,Ruminococcus_bromii,0.592788743404339,pos,0.592788743404339
15300,Clostridium_asparagiforme,Ruminococcus_bromii,0.498182528825484,pos,0.498182528825484
15368,Ruminococcus_albus,Ruminococcus_bromii,0.570334180183701,pos,0.570334180183701
15392,Adlercreutzia_equolifaciens,Ruminococcus_callidus,0.94438147351964,pos,0.94438147351964
15395,Alistipes_indistinctus,Ruminococcus_callidus,0.540570646863397,pos,0.540570646863397
15398,Alistipes_senegalensis,Ruminococcus_callidus,0.512956810631229,pos,0.512956810631229
15405,Bacteroides_clarus,Ruminococcus_callidus,0.497459448895837,pos,0.497459448895837
15412,Bacteroides_intestinalis,Ruminococcus_callidus,0.496169630642955,pos,0.496169630642955
15414,Bacteroides_nordii,Ruminococcus_callidus,0.547469220246238,pos,0.547469220246238
15425,Bifidobacterium_adolescentis,Ruminococcus_callidus,0.43562634356068,pos,0.43562634356068
15426,Bifidobacterium_longum,Ruminococcus_callidus,0.659487981239007,pos,0.659487981239007
15427,Bifidobacterium_pseudocatenulatum,Ruminococcus_callidus,0.771350400625367,pos,0.771350400625367
15430,Butyricimonas_synergistica,Ruminococcus_callidus,0.699472347078366,pos,0.699472347078366
15435,Clostridium_asparagiforme,Ruminococcus_callidus,0.904631620089896,pos,0.904631620089896
