,label,value,phylum
Actinomyces_graevenitzii,Actinomyces_graevenitzii,0,Actinobacteria
Adlercreutzia_equolifaciens,Adlercreutzia_equolifaciens,22,Actinobacteria
Akkermansia_muciniphila,Akkermansia_muciniphila,2,Verrucomicrobia
Alistipes_finegoldii,Alistipes_finegoldii,1,Bacteroidetes
Alistipes_indistinctus,Alistipes_indistinctus,7,Bacteroidetes
Alistipes_onderdonkii,Alistipes_onderdonkii,2,Bacteroidetes
Alistipes_putredinis,Alistipes_putredinis,0,Bacteroidetes
Alistipes_senegalensis,Alistipes_senegalensis,10,Bacteroidetes
Alistipes_shahii,Alistipes_shahii,1,Bacteroidetes
Anaerostipes_hadrus,Anaerostipes_hadrus,1,Firmicutes
Anaerotruncus_colihominis,Anaerotruncus_colihominis,3,Firmicutes
Bacteroidales_bacterium_ph8,Bacteroidales_bacterium_ph8,15,Bacteroidetes
Bacteroides_caccae,Bacteroides_caccae,0,Bacteroidetes
Bacteroides_cellulosilyticus,Bacteroides_cellulosilyticus,0,Bacteroidetes
Bacteroides_clarus,Bacteroides_clarus,8,Bacteroidetes
Bacteroides_coprocola,Bacteroides_coprocola,0,Bacteroidetes
Bacteroides_dorei,Bacteroides_dorei,0,Bacteroidetes
Bacteroides_eggerthii,Bacteroides_eggerthii,0,Bacteroidetes
Bacteroides_faecis,Bacteroides_faecis,2,Bacteroidetes
Bacteroides_finegoldii,Bacteroides_finegoldii,3,Bacteroidetes
Bacteroides_fragilis,Bacteroides_fragilis,0,Bacteroidetes
Bacteroides_intestinalis,Bacteroides_intestinalis,4,Bacteroidetes
Bacteroides_massiliensis,Bacteroides_massiliensis,1,Bacteroidetes
Bacteroides_nordii,Bacteroides_nordii,2,Bacteroidetes
Bacteroides_oleiciplenus,Bacteroides_oleiciplenus,4,Bacteroidetes
Bacteroides_ovatus,Bacteroides_ovatus,2,Bacteroidetes
Bacteroides_plebeius,Bacteroides_plebeius,1,Bacteroidetes
Bacteroides_salyersiae,Bacteroides_salyersiae,0,Bacteroidetes
Bacteroides_stercoris,Bacteroides_stercoris,0,Bacteroidetes
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron,1,Bacteroidetes
Bacteroides_uniformis,Bacteroides_uniformis,2,Bacteroidetes
Bacteroides_vulgatus,Bacteroides_vulgatus,0,Bacteroidetes
Bacteroides_xylanisolvens,Bacteroides_xylanisolvens,1,Bacteroidetes
Barnesiella_intestinihominis,Barnesiella_intestinihominis,11,Bacteroidetes
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,12,Actinobacteria
Bifidobacterium_longum,Bifidobacterium_longum,37,Actinobacteria
Bifidobacterium_pseudocatenulatum,Bifidobacterium_pseudocatenulatum,31,Actinobacteria
Bilophila_wadsworthia,Bilophila_wadsworthia,1,Proteobacteria
Burkholderiales_bacterium_1_1_47,Burkholderiales_bacterium_1_1_47,0,Proteobacteria
Butyricimonas_synergistica,Butyricimonas_synergistica,11,Bacteroidetes
candidate_division_TM7_single_cell_isolate_TM7c,candidate_division_TM7_single_cell_isolate_TM7c,7,Candidatus_Saccharibacteria
Citrobacter_freundii,Citrobacter_freundii,2,Proteobacteria
Clostridiaceae_bacterium_JC118,Clostridiaceae_bacterium_JC118,2,Firmicutes
Clostridiales_bacterium_1_7_47FAA,Clostridiales_bacterium_1_7_47FAA,1,Firmicutes
Clostridium_asparagiforme,Clostridium_asparagiforme,31,Firmicutes
Clostridium_bartlettii,Clostridium_bartlettii,1,Firmicutes
Clostridium_bolteae,Clostridium_bolteae,1,Firmicutes
Clostridium_citroniae,Clostridium_citroniae,10,Firmicutes
Clostridium_clostridioforme,Clostridium_clostridioforme,3,Firmicutes
Clostridium_hathewayi,Clostridium_hathewayi,3,Firmicutes
Clostridium_innocuum,Clostridium_innocuum,6,Firmicutes
Clostridium_leptum,Clostridium_leptum,0,Firmicutes
Clostridium_nexile,Clostridium_nexile,0,Firmicutes
Clostridium_ramosum,Clostridium_ramosum,8,Firmicutes
Clostridium_symbiosum,Clostridium_symbiosum,3,Firmicutes
